Np,Nc,t_rise,overshoot,t_settle,sync_err
10,3,0,5.992353228772e+213,0.076,NaN
10,5,0,5.992353228772e+213,0.076,NaN
10,8,0,5.992353228772e+213,0.076,NaN
10,10,0,5.992353228772e+213,0.076,NaN
15,3,0,5.992353228772e+213,0.076,NaN
15,5,0,5.992353228772e+213,0.076,NaN
15,8,0,5.992353228772e+213,0.076,NaN
15,10,0,5.992353228772e+213,0.076,NaN
20,3,0,5.992353228772e+213,0.076,NaN
20,5,0,5.992353228772e+213,0.076,NaN
20,8,0,5.992353228772e+213,0.076,NaN
20,10,0,5.992353228772e+213,0.076,NaN
30,3,0,5.992353228772e+213,0.076,NaN
30,5,0,5.992353228772e+213,0.076,NaN
30,8,0,5.992353228772e+213,0.076,NaN
30,10,0,5.992353228772e+213,0.076,NaN
